Vendor Name,Product Setting,Business State/Territory,Specialty,Attestation Date,Attestations
Allscripts,Ambulatory,AR,Others,09/01/2012,2
Others,Ambulatory,IN,Family Practice,08/01/2011,10
Epic,Ambulatory,KY,Others,09/01/2012,1
Cerner,Ambulatory,NC,Family Practice,07/01/2012,1
Others,Inpatient,LA,N/A,04/01/2012,1
Others,Inpatient,LA,N/A,04/01/2011,1
eClinicalWorks LLC,Ambulatory,MI,Others,12/01/2011,15
eClinicalWorks LLC,Ambulatory,MI,Others,12/01/2012,10
Others,Ambulatory,KY,Optometry,07/01/2012,2
Epic,Ambulatory,KY,Orthopedic Surgery,01/01/2013,5
Allscripts,Ambulatory,MS,Internal Medicine,01/01/2012,12
Allscripts,Ambulatory,MS,Internal Medicine,01/01/2013,1
Others,Ambulatory,MO,Podiatry,02/01/2012,9
NextGen,Ambulatory,WV,Others,12/01/2012,1
McKesson,Ambulatory,DE,Gastroenterology,11/01/2012,1
Practice Fusion,Ambulatory,IL,Family Practice,10/01/2012,8
NextGen,Ambulatory,NY,Podiatry,01/01/2013,1
NextGen,Ambulatory,FL,Internal Medicine,11/01/2012,11
Cerner,Inpatient,IN,N/A,02/01/2012,2
Others,Ambulatory,WI,Podiatry,02/01/2012,4
Others,Ambulatory,AZ,Orthopedic Surgery,06/01/2012,4
McKesson,Ambulatory,AR,Others,09/01/2012,1
eClinicalWorks LLC,Ambulatory,CO,Others,12/01/2011,6
eClinicalWorks LLC,Ambulatory,MI,Others,04/01/2012,2
eClinicalWorks LLC,Ambulatory,CO,Others,12/01/2012,10
Allscripts,Ambulatory,VA,Gastroenterology,12/01/2012,6
Epic,Ambulatory,PA,Others,10/01/2012,133
Epic,Ambulatory,PA,Others,10/01/2011,19
Epic,Ambulatory,MA,Optometry,01/01/2013,26
Epic,Ambulatory,MN,Family Practice,11/01/2012,47
Epic,Ambulatory,MN,Family Practice,11/01/2011,140
eClinicalWorks LLC,Ambulatory,FL,Internal Medicine,06/01/2011,2
Practice Fusion,Ambulatory,MO,Others,02/01/2012,1
eClinicalWorks LLC,Ambulatory,FL,Internal Medicine,06/01/2012,11
Epic,Ambulatory,MI,Internal Medicine,09/01/2011,1
Epic,Ambulatory,MI,Internal Medicine,09/01/2012,3
Practice Fusion,Ambulatory,TN,Family Practice,01/01/2013,6
Practice Fusion,Ambulatory,TN,Family Practice,01/01/2012,3
GE Healthcare,Ambulatory,OH,Cardiovascular Disease (Cardiology),09/01/2012,1
Others,Ambulatory,CO,Others,04/01/2011,1
GE Healthcare,Ambulatory,OR,Cardiovascular Disease (Cardiology),05/01/2012,8
Others,Ambulatory,ME,Internal Medicine,01/01/2013,4
Others,Ambulatory,CO,Cardiovascular Disease (Cardiology),06/01/2011,2
Others,Ambulatory,NC,Gastroenterology,10/01/2012,18
Others,Inpatient,NM,N/A,08/01/2011,1
Others,Inpatient,NM,N/A,08/01/2012,2
eClinicalWorks LLC,Ambulatory,MN,Cardiovascular Disease (Cardiology),01/01/2013,1
Cerner,Ambulatory,DE,General Surgery,11/01/2012,20
Epic,Ambulatory,MI,Obstetrics/Gynecology,02/01/2012,10
"Greenway Medical Technologies, Inc.",Ambulatory,AL,Family Practice,10/01/2012,1
"Greenway Medical Technologies, Inc.",Ambulatory,AL,Family Practice,10/01/2011,5
"Greenway Medical Technologies, Inc.",Ambulatory,VA,Others,01/01/2013,41
"Greenway Medical Technologies, Inc.",Ambulatory,VA,Others,01/01/2012,8
Others,,SD,Optometry,01/01/2013,1
Allscripts,Ambulatory,WA,Podiatry,10/01/2012,1
eClinicalWorks LLC,Ambulatory,TN,Internal Medicine,08/01/2012,6
Others,Ambulatory,VT,Others,09/01/2011,1
Practice Fusion,Ambulatory,NV,Others,10/01/2012,1
NextGen,Ambulatory,CT,Family Practice,01/01/2013,1
Others,Ambulatory,NJ,General Surgery,05/01/2012,2
eClinicalWorks LLC,Ambulatory,OR,Internal Medicine,01/01/2013,18
eClinicalWorks LLC,Ambulatory,OR,Internal Medicine,01/01/2012,7
McKesson,Ambulatory,NY,Cardiovascular Disease (Cardiology),01/01/2013,1
Epic,Ambulatory,OR,Internal Medicine,08/01/2012,1
Epic,Ambulatory,OR,Internal Medicine,08/01/2011,1
eClinicalWorks LLC,Ambulatory,KY,Others,10/01/2011,1
Epic,Ambulatory,LA,General Surgery,10/01/2012,4
Others,Ambulatory,UT,Podiatry,12/01/2011,4
Allscripts,Ambulatory,MS,Others,01/01/2012,23
Others,Ambulatory,UT,Podiatry,12/01/2012,1
eClinicalWorks LLC,Ambulatory,OH,Internal Medicine,08/01/2012,12
Practice Fusion,Ambulatory,NJ,Cardiovascular Disease (Cardiology),04/01/2012,1
eClinicalWorks LLC,Ambulatory,VA,Cardiovascular Disease (Cardiology),07/01/2012,1
eClinicalWorks LLC,Ambulatory,VA,Cardiovascular Disease (Cardiology),07/01/2011,1
Others,Ambulatory,OR,Family Practice,01/01/2013,64
Others,Ambulatory,OR,Family Practice,01/01/2012,23
Epic,Ambulatory,MA,Cardiovascular Disease (Cardiology),12/01/2011,13
eClinicalWorks LLC,Ambulatory,OH,General Surgery,05/01/2012,1
Allscripts,Ambulatory,ID,Podiatry,05/01/2012,4
McKesson,Ambulatory,TX,Cardiovascular Disease (Cardiology),01/01/2013,4
Cerner,Ambulatory,FM,Others,01/01/2013,6
Cerner,Inpatient,NJ,N/A,10/01/2012,1
Cerner,Inpatient,CA,Others,12/01/2012,1
Epic,Ambulatory,DC,Others,08/01/2011,1
NextGen,Ambulatory,IN,Others,07/01/2012,3
Practice Fusion,Ambulatory,TN,Family Practice,12/01/2012,1
Practice Fusion,Ambulatory,CA,Obstetrics/Gynecology,10/01/2012,1
eClinicalWorks LLC,Ambulatory,NH,General Surgery,09/01/2012,1
Allscripts,Ambulatory,MA,Cardiovascular Disease (Cardiology),02/01/2012,3
NextGen,Ambulatory,MD,Gastroenterology,09/01/2012,1
Allscripts,Ambulatory,TN,Obstetrics/Gynecology,10/01/2012,3
Epic,Inpatient,MN,N/A,11/01/2011,2
Epic,Inpatient,MN,N/A,11/01/2012,10
Allscripts,Ambulatory,MA,Cardiovascular Disease (Cardiology),05/01/2012,5
Epic,Ambulatory,OH,Internal Medicine,05/01/2011,42
Epic,Ambulatory,TX,Cardiovascular Disease (Cardiology),08/01/2012,2
Epic,Ambulatory,OH,Internal Medicine,05/01/2012,44
Others,Ambulatory,NM,Others,05/01/2012,1
Practice Fusion,Ambulatory,IL,General Surgery,12/01/2011,2
Allscripts,Ambulatory,CA,General Surgery,08/01/2012,3
NextGen,Ambulatory,IL,Gastroenterology,06/01/2012,1
NextGen,Ambulatory,KY,Cardiovascular Disease (Cardiology),11/01/2012,5
McKesson,Inpatient,NE,N/A,11/01/2012,2
"Greenway Medical Technologies, Inc.",Ambulatory,VT,N/A,06/01/2012,1
Others,Ambulatory,MA,Podiatry,02/01/2012,5
Others,Ambulatory,NJ,Cardiovascular Disease (Cardiology),04/01/2012,5
Others,Ambulatory,NJ,Cardiovascular Disease (Cardiology),04/01/2011,1
GE Healthcare,Ambulatory,ID,Cardiovascular Disease (Cardiology),12/01/2012,3
"Greenway Medical Technologies, Inc.",Ambulatory,FL,Orthopedic Surgery,12/01/2011,1
Epic,Ambulatory,NH,Others,03/01/2012,1
NextGen,Ambulatory,NY,Gastroenterology,10/01/2012,1
Others,Ambulatory,PA,General Surgery,01/01/2013,51
Others,Ambulatory,PA,General Surgery,01/01/2012,8
GE Healthcare,Ambulatory,WV,Others,09/01/2012,1
