Vendor Name,Product Setting,Business State/Territory,Specialty,Attestation Date,Attestations
NextGen,Ambulatory,CA,Internal Medicine,05/2012,15
Others,Ambulatory,OR,Optometry,03/2012,2
GE Healthcare,Ambulatory,DC,Internal Medicine,06/2012,5
eClinicalWorks LLC,Ambulatory,NC,Internal Medicine,12/2012,5
Greenway Medical,Ambulatory,NH,Others,10/2012,1
eClinicalWorks LLC,Ambulatory,NC,Internal Medicine,12/2011,11
Allscripts,Ambulatory,NC,Family Practice,04/2012,22
Others,Ambulatory,MN,Orthopedic Surgery,09/2012,3
McKesson,Ambulatory,FL,Internal Medicine,07/2012,3
Epic,Ambulatory,NH,Optometry,01/2013,2
eClinicalWorks LLC,Ambulatory,MS,Family Practice,02/2012,1
GE Healthcare,Ambulatory,NY,Internal Medicine,07/2012,20
NextGen,Ambulatory,CA,Family Practice,02/2012,27
Others,Ambulatory,ID,Others,05/2012,1
Practice Fusion,Ambulatory,GA,Others,10/2012,4
Others,Ambulatory,CO,Podiatry,09/2012,1
Others,Ambulatory,CO,Podiatry,09/2011,1
eClinicalWorks LLC,Ambulatory,MA,Podiatry,06/2011,1
eClinicalWorks LLC,Ambulatory,IL,Cardiology,09/2012,1
Cerner,Ambulatory,NJ,Podiatry,11/2011,4
Cerner,Ambulatory,NJ,Podiatry,11/2012,6
eClinicalWorks LLC,Ambulatory,IN,General Surgery,01/2013,4
Practice Fusion,Ambulatory,AZ,Podiatry,02/2012,1
GE Healthcare,Ambulatory,NH,Family Practice,01/2012,18
GE Healthcare,Ambulatory,NH,Family Practice,01/2013,13
Practice Fusion,Ambulatory,CA,Gastroenterology,11/2012,3
Others,Inpatient,IL,N/A,07/2012,3
GE Healthcare,Ambulatory,MD,Cardiology,02/2012,2
Others,Ambulatory,IL,Optometry,09/2011,2
Practice Fusion,Ambulatory,CA,Family Practice,10/2011,1
Others,Ambulatory,NJ,Podiatry,03/2012,1
Epic,Inpatient,AR,N/A,01/2013,1
eClinicalWorks LLC,Ambulatory,NY,Podiatry,08/2012,1
eClinicalWorks LLC,Ambulatory,FL,Internal Medicine,01/2013,61
eClinicalWorks LLC,Ambulatory,FL,Internal Medicine,01/2012,12
Others,Ambulatory,OH,Obstetrics/Gynecology,08/2011,5
McKesson,Ambulatory,IA,Others,10/2012,3
GE Healthcare,Ambulatory,NM,Others,07/2012,1
GE Healthcare,Ambulatory,AL,Others,07/2012,6
Others,Ambulatory,MO,Others,02/2012,43
Others,Ambulatory,GA,Gastroenterology,10/2012,35
Allscripts,Ambulatory,MD,General Surgery,01/2012,3
Allscripts,Ambulatory,AL,Internal Medicine,04/2012,4
Others,Ambulatory,FL,Optometry,10/2012,27
Others,Ambulatory,FL,Optometry,10/2011,12
Allscripts,Ambulatory,TN,Optometry,12/2012,3
Others,Ambulatory,NE,Podiatry,09/2011,1
McKesson,Ambulatory,IL,General Surgery,02/2012,2
Allscripts,Ambulatory,TX,Internal Medicine,02/2012,12
Greenway Medical,Ambulatory,NE,General Surgery,01/2013,2
eClinicalWorks LLC,Ambulatory,TN,Family Practice,07/2012,1
Epic,Ambulatory,MI,Family Practice,02/2012,57
Others,Ambulatory,ID,Podiatry,12/2012,1
Others,Ambulatory,AR,Podiatry,08/2012,1
GE Healthcare,Ambulatory,GA,Others,12/2011,1
GE Healthcare,Ambulatory,GA,Others,12/2012,1
Cerner,Inpatient,MO,Others,10/2012,5
GE Healthcare,Ambulatory,NY,General Surgery,05/2012,1
McKesson,Ambulatory,AZ,Podiatry,07/2012,1
Greenway Medical,Ambulatory,AL,Cardiology,11/2012,2
Others,Ambulatory,MO,Internal Medicine,07/2012,3
Cerner,Ambulatory,WA,Obstetrics/Gynecology,12/2012,14
Practice Fusion,Ambulatory,GA,Internal Medicine,06/2012,1
NextGen,Ambulatory,IA,Orthopedic Surgery,11/2012,2
Practice Fusion,Ambulatory,OK,Cardiology,12/2012,1
Epic,Inpatient,IA,N/A,10/2012,1
Epic,Ambulatory,NC,Internal Medicine,12/2012,19
Epic,Ambulatory,MO,Gastroenterology,10/2012,3
Others,Ambulatory,CT,Gastroenterology,04/2012,2
Allscripts,Inpatient,GA,Optometry,11/2012,1
eClinicalWorks LLC,Ambulatory,OH,Gastroenterology,01/2013,3
Epic,Inpatient,AR,General Surgery,11/2011,5
Others,Ambulatory,MD,Family Practice,10/2011,2
Others,Ambulatory,MD,Family Practice,10/2012,12
NextGen,Ambulatory,IN,Cardiology,07/2012,1
eClinicalWorks LLC,Ambulatory,PA,Podiatry,08/2012,1
eClinicalWorks LLC,Ambulatory,CT,Others,09/2011,2
Greenway Medical,Ambulatory,MO,Others,02/2012,4
Allscripts,Ambulatory,HI,Orthopedic Surgery,12/2011,2
Practice Fusion,Ambulatory,AZ,Others,07/2012,1
eClinicalWorks LLC,Ambulatory,NY,Family Practice,04/2012,5
Allscripts,Ambulatory,HI,Orthopedic Surgery,12/2012,1
Epic,Ambulatory,MT,Others,10/2011,1
Allscripts,Ambulatory,NM,Podiatry,01/2013,3
eClinicalWorks LLC,Ambulatory,KS,Others,01/2013,13
Practice Fusion,Ambulatory,MI,Podiatry,04/2012,1
Allscripts,Ambulatory,KS,Family Practice,09/2011,1
Allscripts,Ambulatory,KS,Family Practice,09/2012,2
Cerner,Ambulatory,NC,Podiatry,06/2012,10
Others,Ambulatory,MO,Podiatry,01/2013,31
Others,Ambulatory,MO,Podiatry,01/2012,10
eClinicalWorks LLC,Ambulatory,MA,Others,02/2012,23
Others,Ambulatory,ID,Orthopedic Surgery,01/2013,17
Practice Fusion,Ambulatory,CA,General Surgery,11/2012,2
eClinicalWorks LLC,Ambulatory,MD,Others,05/2012,11
Others,Ambulatory,IA,Family Practice,06/2012,1
NextGen,Ambulatory,FL,Others,07/2012,18
McKesson,Ambulatory,VT,Others,02/2012,3
NextGen,Inpatient,KS,N/A,10/2012,1
GE Healthcare,Ambulatory,IL,Orthopedic Surgery,05/2012,6
Greenway Medical,Ambulatory,IL,General Surgery,10/2012,1
Others,Inpatient,NY,Internal Medicine,02/2012,1
Others,Ambulatory,MI,Orthopedic Surgery,10/2011,1
Others,Ambulatory,MI,Orthopedic Surgery,10/2012,11
Epic,Ambulatory,KY,Obstetrics/Gynecology,10/2012,4
Others,Ambulatory,NM,Optometry,10/2011,1
Practice Fusion,Ambulatory,FL,Podiatry,06/2012,1
Allscripts,Ambulatory,IN,Internal Medicine,06/2012,2
Cerner,Ambulatory,ME,Podiatry,11/2012,2
Others,Ambulatory,AZ,Others,04/2012,14
Allscripts,Ambulatory,LA,General Surgery,11/2012,2
Greenway Medical,Ambulatory,AR,Cardiology,11/2012,1
Practice Fusion,Ambulatory,TX,Internal Medicine,09/2011,2
Practice Fusion,Ambulatory,TX,Internal Medicine,09/2012,5
Allscripts,Ambulatory,SC,Podiatry,11/2011,1
Epic,Ambulatory,CA,Obstetrics/Gynecology,09/2011,1
Epic,Ambulatory,CA,Obstetrics/Gynecology,09/2012,3
Epic,Ambulatory,IL,Others,07/2012,8
Epic,Ambulatory,IL,Others,07/2011,2
NextGen,Ambulatory,NH,Gastroenterology,12/2012,1
Others,Ambulatory,OH,Optometry,04/2012,8
Others,Ambulatory,FL,Orthopedic Surgery,01/2013,70
Others,Ambulatory,FL,Orthopedic Surgery,01/2012,6
GE Healthcare,Ambulatory,OR,General Surgery,12/2012,6
Others,Ambulatory,IN,Family Practice,06/2012,2
Epic,Ambulatory,KY,Others,05/2012,2
Epic,Ambulatory,PA,Others,06/2012,1
Cerner,Ambulatory,NJ,Obstetrics/Gynecology,01/2013,4
Epic,Ambulatory,PA,Others,06/2011,1
Epic,Ambulatory,WA,Others,10/2012,50
Epic,Ambulatory,WA,Others,10/2011,1
Cerner,Ambulatory,NJ,Cardiology,10/2011,2
Allscripts,Ambulatory,NH,Internal Medicine,12/2012,1
NextGen,Ambulatory,IA,Family Practice,01/2012,16
NextGen,Ambulatory,IA,Family Practice,01/2013,17
NextGen,Ambulatory,MT,Family Practice,09/2012,1
Others,Ambulatory,NC,Optometry,05/2012,4
Others,Ambulatory,NC,Optometry,05/2011,2
NextGen,Ambulatory,AZ,Family Practice,05/2011,1
Others,Ambulatory,MI,General Surgery,02/2012,2
GE Healthcare,Ambulatory,KS,Family Practice,11/2012,1
Epic,Ambulatory,MI,Internal Medicine,11/2011,3
eClinicalWorks LLC,Ambulatory,RI,Podiatry,02/2012,1
Others,Inpatient,TN,N/A,06/2012,1
Allscripts,Ambulatory,WI,Orthopedic Surgery,01/2013,1
Allscripts,Ambulatory,WI,Orthopedic Surgery,01/2012,3
McKesson,Ambulatory,WI,Podiatry,11/2012,2
Cerner,Ambulatory,MA,Obstetrics/Gynecology,12/2011,12
Greenway Medical,Ambulatory,GA,Internal Medicine,02/2012,6
Practice Fusion,Ambulatory,NJ,Family Practice,01/2012,3
Practice Fusion,Ambulatory,NJ,Family Practice,01/2013,19
Practice Fusion,Ambulatory,TX,Internal Medicine,04/2012,2
Others,Ambulatory,NV,Orthopedic Surgery,08/2012,1
eClinicalWorks LLC,Ambulatory,NJ,Family Practice,02/2012,3
Others,Ambulatory,VT,Others,01/2012,1
Others,Ambulatory,VT,Others,01/2013,19
Epic,Ambulatory,CT,Others,08/2012,1
Others,Ambulatory,IL,Optometry,07/2012,6
Epic,Ambulatory,NH,Others,12/2012,2
Greenway Medical,Ambulatory,AL,Family Practice,10/2011,5
Greenway Medical,Ambulatory,AL,Family Practice,10/2012,1
Epic,Ambulatory,NH,Others,12/2011,7
McKesson,Ambulatory,SC,Others,11/2012,1
Others,Ambulatory,MN,Obstetrics/Gynecology,09/2012,3
Cerner,Ambulatory,AL,Cardiology,12/2012,2
eClinicalWorks LLC,Ambulatory,CA,Family Practice,05/2012,4
eClinicalWorks LLC,Ambulatory,CA,Family Practice,05/2011,2
eClinicalWorks LLC,Ambulatory,WA,Family Practice,01/2013,32
eClinicalWorks LLC,Ambulatory,WA,Family Practice,01/2012,6
Others,Ambulatory,NJ,Internal Medicine,12/2011,56
Others,Ambulatory,FL,Cardiology,06/2012,22
Others,Ambulatory,PR,Others,07/2012,5
Others,Ambulatory,NJ,Internal Medicine,12/2012,65
Others,Ambulatory,OR,Gastroenterology,10/2011,2
eClinicalWorks LLC,Ambulatory,KS,Internal Medicine,12/2011,1
eClinicalWorks LLC,Ambulatory,NY,Internal Medicine,04/2012,15
eClinicalWorks LLC,Ambulatory,KS,Internal Medicine,12/2012,1
eClinicalWorks LLC,Ambulatory,TN,Others,01/2012,8
eClinicalWorks LLC,Ambulatory,TN,Others,01/2013,20
Others,Ambulatory,GA,Optometry,09/2012,7
Others,Ambulatory,CT,Internal Medicine,01/2012,7
GE Healthcare,Ambulatory,DC,Family Practice,09/2012,1
NextGen,Ambulatory,MN,Family Practice,07/2012,9
Epic,Ambulatory,MO,Others,02/2012,95
NextGen,Ambulatory,MD,Others,08/2012,16
NextGen,Ambulatory,NH,Internal Medicine,06/2012,10
Allscripts,Ambulatory,PA,General Surgery,10/2012,10
Practice Fusion,Ambulatory,AL,Internal Medicine,12/2012,3
Practice Fusion,Ambulatory,AL,Internal Medicine,12/2011,1
NextGen,Ambulatory,KY,Others,07/2012,6
Epic,Inpatient,IL,Cardiology,01/2013,5
Others,Ambulatory,TN,Internal Medicine,06/2012,4
Others,Ambulatory,DC,Cardiology,05/2012,2
Practice Fusion,Ambulatory,MA,Podiatry,01/2013,8
NextGen,Ambulatory,OR,Others,12/2011,7
NextGen,Ambulatory,OR,Others,12/2012,5
Greenway Medical,Ambulatory,FL,Cardiology,07/2011,1
Greenway Medical,Ambulatory,FL,Cardiology,07/2012,1
Allscripts,Ambulatory,LA,Family Practice,10/2011,6
eClinicalWorks LLC,Ambulatory,NV,Internal Medicine,01/2013,6
eClinicalWorks LLC,Ambulatory,NV,Internal Medicine,01/2012,5
Others,Ambulatory,VA,Cardiology,10/2012,55
NextGen,Ambulatory,NJ,Others,07/2012,2
Others,Ambulatory,CA,Cardiology,10/2012,11
Allscripts,Ambulatory,OH,General Surgery,01/2013,11
Others,Ambulatory,TX,Gastroenterology,06/2011,2
Others,Ambulatory,TX,Gastroenterology,06/2012,4
Allscripts,Ambulatory,TX,Podiatry,12/2012,1
Allscripts,Ambulatory,TX,Podiatry,12/2011,3
McKesson,Ambulatory,NJ,Family Practice,02/2012,1
Others,Ambulatory,OH,Others,07/2012,69
eClinicalWorks LLC,Ambulatory,FL,Others,07/2012,30
Allscripts,Ambulatory,IL,Podiatry,07/2012,1
eClinicalWorks LLC,Ambulatory,FL,Others,07/2011,3
NextGen,Ambulatory,TX,Others,07/2012,2
eClinicalWorks LLC,Ambulatory,OR,Internal Medicine,12/2011,4
eClinicalWorks LLC,Ambulatory,OR,Internal Medicine,12/2012,3
Allscripts,Ambulatory,VT,Family Practice,11/2011,2
Others,Ambulatory,OH,Family Practice,12/2011,63
Others,Ambulatory,OH,Family Practice,12/2012,45
eClinicalWorks LLC,Ambulatory,MO,Family Practice,01/2013,18
Allscripts,Ambulatory,CO,Cardiology,02/2012,1
Others,Ambulatory,MD,General Surgery,10/2012,3
Others,Ambulatory,NM,Gastroenterology,12/2012,7
Practice Fusion,Ambulatory,WA,Family Practice,01/2013,1
Others,Ambulatory,NC,Orthopedic Surgery,12/2012,13
Others,Ambulatory,NC,Orthopedic Surgery,12/2011,2
Greenway Medical,Ambulatory,WI,Others,12/2012,3
Others,Ambulatory,NH,Orthopedic Surgery,09/2011,2
Allscripts,Ambulatory,TX,Cardiology,09/2012,3
Allscripts,Ambulatory,TX,Cardiology,09/2011,1
McKesson,Ambulatory,MO,Obstetrics/Gynecology,01/2013,1
Practice Fusion,Ambulatory,MD,Podiatry,05/2012,1
NextGen,Ambulatory,OR,Internal Medicine,05/2012,1
GE Healthcare,Ambulatory,PA,Internal Medicine,02/2012,5
Epic,Ambulatory,MN,Gastroenterology,10/2011,2
Epic,Ambulatory,MN,Gastroenterology,10/2012,12
Others,Ambulatory,AR,Orthopedic Surgery,01/2013,13
Practice Fusion,Ambulatory,WI,Podiatry,12/2011,1
eClinicalWorks LLC,Ambulatory,AL,Internal Medicine,12/2012,1
Others,Ambulatory,NY,Optometry,07/2012,4
NextGen,Ambulatory,IL,Internal Medicine,11/2011,4
NextGen,Ambulatory,IL,Internal Medicine,11/2012,3
Greenway Medical,Ambulatory,VA,Obstetrics/Gynecology,10/2011,6
GE Healthcare,Ambulatory,TX,Family Practice,06/2012,34
eClinicalWorks LLC,Ambulatory,IL,Family Practice,12/2011,11
eClinicalWorks LLC,Ambulatory,IL,Family Practice,12/2012,13
NextGen,Ambulatory,GA,Internal Medicine,01/2012,3
NextGen,Ambulatory,GA,Internal Medicine,01/2013,8
Cerner,Ambulatory,PA,Family Practice,01/2013,31
Others,Ambulatory,RI,Others,01/2012,6
Epic,Ambulatory,NJ,Family Practice,09/2012,4
McKesson,Ambulatory,WV,Podiatry,12/2011,1
Greenway Medical,Ambulatory,PA,Internal Medicine,12/2011,1
NextGen,Ambulatory,MD,Obstetrics/Gynecology,10/2012,2
NextGen,Ambulatory,IN,Obstetrics/Gynecology,10/2012,7
Cerner,Inpatient,MI,N/A,09/2012,3
McKesson,Ambulatory,AZ,Family Practice,11/2012,6
McKesson,Ambulatory,AZ,Family Practice,11/2011,1
Others,Ambulatory,PA,Podiatry,05/2012,6
Others,Ambulatory,TX,Gastroenterology,01/2013,51
Others,Ambulatory,TX,Gastroenterology,01/2012,33
Others,Ambulatory,IL,Internal Medicine,02/2012,31
Practice Fusion,Ambulatory,OK,Family Practice,01/2013,1
Allscripts,Ambulatory,VA,Internal Medicine,02/2012,11
Others,Ambulatory,NY,General Surgery,02/2012,2
Others,Ambulatory,CO,Gastroenterology,02/2012,1
Practice Fusion,Ambulatory,MI,Podiatry,12/2011,6
Greenway Medical,Ambulatory,NY,Others,02/2012,2
Others,Ambulatory,CT,Family Practice,08/2012,4
Others,Ambulatory,CT,Family Practice,08/2011,1
Cerner,Ambulatory,NC,Obstetrics/Gynecology,12/2012,1
Others,Ambulatory,AZ,Obstetrics/Gynecology,12/2011,7
eClinicalWorks LLC,Ambulatory,IL,Orthopedic Surgery,05/2012,15
Epic,Inpatient,HI,Obstetrics/Gynecology,10/2012,11
Allscripts,Ambulatory,MA,Family Practice,12/2011,40
Others,Ambulatory,LA,Internal Medicine,09/2011,4
McKesson,Ambulatory,KS,Family Practice,12/2012,4
GE Healthcare,Ambulatory,NC,Internal Medicine,09/2012,6
Epic,Ambulatory,WI,Others,11/2011,74
Epic,Ambulatory,WI,Others,11/2012,54
Practice Fusion,Ambulatory,CA,Family Practice,05/2012,2
Epic,Ambulatory,MN,Gastroenterology,05/2012,2
NextGen,Ambulatory,ID,General Surgery,01/2013,2
Practice Fusion,Ambulatory,OK,Family Practice,09/2012,1
Others,Ambulatory,MN,Cardiology,08/2012,6
Epic,Ambulatory,TX,Optometry,10/2012,1
Others,Ambulatory,SC,Optometry,10/2012,3
Others,Ambulatory,SC,Optometry,10/2011,4
eClinicalWorks LLC,Ambulatory,FL,Others,08/2012,28
eClinicalWorks LLC,Ambulatory,FL,Others,08/2011,5
NextGen,Ambulatory,GA,Internal Medicine,06/2012,15
McKesson,Ambulatory,AZ,General Surgery,10/2012,1
Others,Inpatient,TX,N/A,10/2011,72
Others,Inpatient,TX,N/A,10/2012,37
GE Healthcare,Ambulatory,TX,Cardiology,01/2012,1
Greenway Medical,Ambulatory,GA,General Surgery,04/2012,1
Others,Ambulatory,NV,Others,09/2011,2
Others,Ambulatory,NV,Others,09/2012,4
Allscripts,Ambulatory,FL,Gastroenterology,05/2012,11
Others,Ambulatory,AL,Cardiology,07/2012,1
GE Healthcare,Ambulatory,MD,Family Practice,10/2012,16
GE Healthcare,Ambulatory,MD,Family Practice,10/2011,2
Others,Inpatient,MS,N/A,11/2012,6
Others,Inpatient,MS,N/A,11/2011,2
Practice Fusion,Ambulatory,WV,Orthopedic Surgery,04/2012,2
Epic,Ambulatory,MS,Others,01/2013,1
GE Healthcare,Ambulatory,IN,Podiatry,12/2011,1
Others,Inpatient,IA,N/A,03/2012,3
Others,Ambulatory,NY,General Surgery,05/2012,1
Others,Inpatient,NH,N/A,07/2011,1
Greenway Medical,Ambulatory,WV,Family Practice,06/2012,2
Allscripts,Ambulatory,FL,General Surgery,05/2012,4
Others,Ambulatory,VT,Family Practice,07/2012,1
Others,Ambulatory,MO,General Surgery,09/2012,2
Epic,Ambulatory,KY,Cardiology,08/2012,6
Others,Ambulatory,WI,Internal Medicine,10/2012,12
Cerner,Inpatient,VT,N/A,10/2012,3
Cerner,Ambulatory,MI,Internal Medicine,12/2012,6
Others,Ambulatory,ME,Others,12/2012,21
Others,Ambulatory,ME,Others,12/2011,10
McKesson,Ambulatory,MI,Internal Medicine,02/2012,15
NextGen,Ambulatory,MN,Others,08/2012,4
Epic,Inpatient,HI,Internal Medicine,10/2011,3
NextGen,Ambulatory,FL,Internal Medicine,10/2012,7
Greenway Medical,Ambulatory,WY,Internal Medicine,01/2013,1
NextGen,Ambulatory,TN,Internal Medicine,04/2011,1
GE Healthcare,Ambulatory,CA,Orthopedic Surgery,10/2012,2
Cerner,Ambulatory,WI,Internal Medicine,01/2013,4
NextGen,Inpatient,TX,N/A,04/2012,1
McKesson,Ambulatory,AL,Internal Medicine,07/2012,1
Practice Fusion,Ambulatory,IA,Family Practice,12/2011,3
Allscripts,Ambulatory,NC,Internal Medicine,08/2011,7
Allscripts,Ambulatory,NC,Internal Medicine,08/2012,25
GE Healthcare,Ambulatory,NV,Orthopedic Surgery,05/2012,1
Others,Ambulatory,VA,Obstetrics/Gynecology,10/2011,1
Others,Ambulatory,VA,Obstetrics/Gynecology,10/2012,4
Epic,Ambulatory,WA,Family Practice,09/2011,4
Greenway Medical,Ambulatory,SC,Obstetrics/Gynecology,07/2012,4
Allscripts,Ambulatory,NY,Orthopedic Surgery,01/2013,1
eClinicalWorks LLC,Ambulatory,NY,Optometry,04/2012,1
Epic,Ambulatory,MO,Orthopedic Surgery,10/2012,6
NextGen,Ambulatory,CO,General Surgery,02/2012,2
Others,Inpatient,CT,N/A,11/2012,2
Others,Inpatient,CT,N/A,11/2011,6
GE Healthcare,Ambulatory,IN,Orthopedic Surgery,10/2011,4
GE Healthcare,Ambulatory,IN,Orthopedic Surgery,10/2012,12
Epic,Ambulatory,CA,Optometry,07/2012,1
Others,Ambulatory,SC,Cardiology,09/2012,1
Others,Ambulatory,AZ,Internal Medicine,11/2011,13
Others,Ambulatory,AZ,Internal Medicine,11/2012,9
Others,Ambulatory,MS,Family Practice,12/2011,11
Others,Ambulatory,MS,Family Practice,12/2012,5
Allscripts,Ambulatory,VA,Cardiology,08/2012,7
Epic,Ambulatory,MS,Others,06/2012,18
Epic,Ambulatory,IN,Family Practice,10/2012,6
Epic,Ambulatory,WA,Family Practice,12/2011,36
Epic,Ambulatory,WA,Family Practice,12/2012,29
Epic,Ambulatory,NC,General Surgery,12/2012,18
Epic,Ambulatory,IL,Obstetrics/Gynecology,08/2012,2
Allscripts,Ambulatory,SC,General Surgery,11/2012,7
Epic,Inpatient,AL,N/A,09/2012,2
Others,Ambulatory,KS,General Surgery,09/2012,5
Epic,Ambulatory,OH,Podiatry,06/2012,1
Cerner,Ambulatory,IA,Podiatry,05/2011,1
Others,Ambulatory,TX,Family Practice,01/2012,61
Cerner,Ambulatory,DE,Family Practice,12/2011,2
Epic,Inpatient,NE,Internal Medicine,01/2013,25
Cerner,Ambulatory,UT,Podiatry,01/2013,2
Cerner,Ambulatory,WV,Internal Medicine,01/2012,1
Cerner,Ambulatory,OR,Gastroenterology,09/2011,1
Cerner,Ambulatory,WI,Obstetrics/Gynecology,04/2011,1
Others,Ambulatory,IA,Cardiology,10/2012,5
NextGen,Ambulatory,MN,Podiatry,11/2012,2
McKesson,Ambulatory,VA,Obstetrics/Gynecology,06/2012,1
Others,Ambulatory,MD,Optometry,11/2012,5
Epic,Ambulatory,FL,Gastroenterology,12/2012,14
Epic,Ambulatory,FL,Gastroenterology,12/2011,1
Allscripts,Ambulatory,AR,Internal Medicine,01/2013,3
GE Healthcare,Ambulatory,AR,Others,08/2012,1
NextGen,Ambulatory,OR,General Surgery,02/2012,1
Allscripts,Ambulatory,CA,Cardiology,04/2012,5
McKesson,Ambulatory,OK,Internal Medicine,12/2011,1
McKesson,Ambulatory,OK,Internal Medicine,12/2012,3
Practice Fusion,Ambulatory,DC,Internal Medicine,10/2012,1
Allscripts,Ambulatory,FL,Orthopedic Surgery,06/2012,1
eClinicalWorks LLC,Ambulatory,MI,Internal Medicine,01/2013,32
eClinicalWorks LLC,Ambulatory,MI,Internal Medicine,01/2012,3
Allscripts,Ambulatory,CO,Obstetrics/Gynecology,02/2012,2
Others,Ambulatory,UT,Family Practice,10/2011,5
Others,Ambulatory,UT,Family Practice,10/2012,5
Others,Ambulatory,IL,Orthopedic Surgery,08/2012,2
Practice Fusion,Ambulatory,CO,Others,09/2011,1
Practice Fusion,Ambulatory,CO,Others,09/2012,1
McKesson,Ambulatory,VA,Family Practice,09/2012,3
Practice Fusion,Ambulatory,MI,Internal Medicine,09/2012,1
Others,Ambulatory,KY,Internal Medicine,01/2013,27
Others,Ambulatory,OR,Podiatry,04/2011,1
Allscripts,Ambulatory,TN,General Surgery,09/2012,2
McKesson,Ambulatory,SC,Others,01/2013,4
eClinicalWorks LLC,Ambulatory,WV,Family Practice,04/2012,1
Others,Ambulatory,KS,Orthopedic Surgery,12/2012,13
Others,Ambulatory,PR,Orthopedic Surgery,08/2012,1
Epic,Ambulatory,ND,Others,05/2012,10
eClinicalWorks LLC,Ambulatory,VA,General Surgery,01/2013,4
Practice Fusion,Ambulatory,DC,Others,01/2012,1
Practice Fusion,Ambulatory,DC,Others,01/2013,1
Greenway Medical,Ambulatory,IL,Gastroenterology,09/2011,3
Epic,Inpatient,IN,Internal Medicine,07/2012,1
Cerner,Ambulatory,PA,Podiatry,02/2012,2
McKesson,Ambulatory,NM,Family Practice,01/2012,1
McKesson,Ambulatory,NM,Family Practice,01/2013,1
eClinicalWorks LLC,Ambulatory,MA,Obstetrics/Gynecology,09/2012,1
Others,Ambulatory,MN,Podiatry,09/2012,5
Others,Ambulatory,MN,Podiatry,09/2011,3
